PO_Number,Supplier_ID,PO_Date,PO_Amount,Currency,Department,Requestor,Description,Line_Item_Count
PO-00269,SUP-002,2025-07-13,12407.93,USD,Marketing,User_3,Email Marketing Platform Subscription,9
PO-00270,SUP-014,2025-07-17,3850.13,USD,Finance,User_13,Corporate Insurance Premium,8
PO-00271,SUP-002,2025-02-05,31965.7,USD,Marketing,User_1,Video Production Services - Promo,6
PO-00272,SUP-043,2025-02-17,17567.72,USD,Finance,User_19,Bank Transaction Fees,6
PO-00273,SUP-031,2025-03-23,2694.62,USD,Marketing,User_15,Video Production Services - Promo,8
PO-00274,SUP-035,2025-12-03,9522.76,USD,Operations,User_15,HVAC Maintenance and Repair,1
PO-00275,SUP-036,2025-06-13,10478.75,USD,Finance,User_11,Tax Consultation Fees,5
PO-00276,SUP-012,2025-10-04,20212.09,USD,IT,User_2,Server Rack Maintenance Fee,4
PO-00277,SUP-020,2025-06-09,18170.22,USD,Operations,User_9,Office Cleaning Services - Monthly,2
PO-00278,SUP-047,2025-07-21,22129.09,EUR,IT,User_13,Monitor 27-inch 4K - Dell UltraSharp,6
PO-00279,SUP-023,2025-04-19,25062.06,USD,Finance,User_17,Payroll Processing Fees - Oct,5
PO-00280,SUP-026,2025-02-25,36490.53,EUR,Finance,User_20,Audit Services - FY2025,3
PO-00281,SUP-022,2025-10-20,15041.44,USD,Finance,User_11,Audit Services - FY2025,5
PO-00282,SUP-009,2025-06-19,22572.83,USD,IT,User_15,Monitor 27-inch 4K - Dell UltraSharp,6
PO-00283,SUP-050,2025-08-30,2596.58,EUR,Operations,User_9,Facilities Management Retainer,1
PO-00284,SUP-048,2025-02-21,33723.6,USD,Finance,User_17,Payroll Processing Fees - Oct,3
PO-00285,SUP-041,2025-01-29,7567.58,USD,IT,User_5,Server Rack Maintenance Fee,2
PO-00286,SUP-001,2025-05-14,39036.51,USD,Operations,User_13,Facilities Management Retainer,10
PO-00287,SUP-001,2025-01-30,30452.19,USD,Operations,User_12,Pest Control Quarterly Service,8
PO-00288,SUP-043,2025-02-22,28909.13,USD,Finance,User_13,Corporate Insurance Premium,6
PO-00289,SUP-041,2025-12-12,14295.14,USD,IT,User_6,Microsoft 365 Enterprise Licenses (Annual),8
PO-00290,SUP-005,2025-10-06,19655.88,USD,Operations,User_9,Security Guard Services - Nov,8
PO-00291,SUP-015,2025-05-03,49820.07,EUR,IT,User_7,Cloud Hosting Services - AWS,2
PO-00292,SUP-020,2025-03-24,42714.9,USD,Operations,User_15,Pest Control Quarterly Service,2
PO-00293,SUP-004,2025-12-29,48394.28,USD,Operations,User_3,Facilities Management Retainer,9
PO-00294,SUP-017,2025-10-18,14872.93,USD,IT,User_6,Cloud Hosting Services - AWS,6
PO-00295,SUP-009,2025-10-01,11599.96,USD,IT,User_8,Lenovo ThinkPad X1 Carbon Gen 9,8
PO-00296,SUP-027,2025-01-27,18364.38,USD,Finance,User_15,Corporate Insurance Premium,9
PO-00297,SUP-011,2025-03-21,30791.44,USD,IT,User_10,Microsoft 365 Enterprise Licenses (Annual),7
PO-00298,SUP-032,2025-09-16,26521.93,USD,Finance,User_5,Payroll Processing Fees - Oct,6
PO-00299,SUP-014,2025-12-08,4171.17,USD,Finance,User_5,Payroll Processing Fees - Oct,9
PO-00300,SUP-017,2025-12-07,29595.41,EUR,IT,User_17,Cisco Meraki MR56 Access Points,1
